,BinaryName,RA,DEC
0,UV Psc,19.22966333333333,6.811703055555555
1,XY Cet,44.889717499999996,3.5175694444444443
2,V1130 Tau,57.674754583333325,1.5639491666666667
3,EW Ori,80.03809666666665,2.044445833333333
4,V578 Mon,98.00253333333332,4.878021944444445
5,AI Hya,124.69790499999999,0.2835036111111111
6,FM Leo,168.18789416666664,0.3480122222222222
7,AQ Ser,230.56327124999999,2.503064166666667
8,V335 Ser,239.7739833333333,0.5957147222222222
9,U Oph,259.1321383333333,1.2105544444444445
10,V2368 Oph,259.0594191666666,2.186202222222222
11,V413 Ser,278.78423458333333,0.04297527777777778
12,CoRoT 105906206,280.8206354166666,5.966726944444445
13,IO Aqr,310.18945625,0.9391675
14,V1388 Ori,92.74652708333333,11.994858333333333
15,WZ Oph,256.6626866666667,7.7827222222222225
16,V2365 Oph,257.19075999999995,9.186155277777779
17,V624 Her,266.0718625,14.4100675
18,V451 Oph,277.30851083333334,10.892063055555555
19,EE Peg,325.00782666666663,9.184754444444446
20,CF Tau,61.292227916666654,22.496688333333335
21,V1094 Tau,63.01496875,21.94738
22,CD Tau,79.37980499999999,20.131840833333335
23,FT Ori,93.49230333333333,21.42755
24,CU Cnc,127.90655833333334,19.39427722222222
25,TX Cnc,130.00709958333331,18.999839444444447
26,HD 194495,306.29501416666665,21.488567222222223
27,BP Vul,306.38853499999993,21.03831888888889
28,AD Boo,218.80324666666664,24.639261388888887
29,RT CrB,234.5126320833333,29.487210833333336
30,LV Her,263.8850241666666,23.175140000000003
31,DI Her,283.3593333333333,24.277997777777777
32,BK Peg,356.78527749999995,26.566657777777777
33,AG Per,61.73261583333332,33.44637055555555
34,NP Per,63.74065416666666,31.445589722222223
35,AR Aur,79.57873333333332,33.76736666666667
36,HP Aur,77.590755,35.79628333333333
37,V432 Aur,84.38545375,37.08673888888889
38,WW Aur,98.11326833333332,32.45489805555556
39,GX Gem,101.53803041666664,34.41466555555555
40,KX Cnc,130.6925495833333,31.86260111111111
41,HD 71636,127.48463249999996,37.07096777777778
42,YY Gem,113.65659999999998,31.869736111111113
43,CV Boo,231.58140166666664,36.98150972222222
44,V501 Her,263.93105125,30.643065
45,BD+36 3317,283.59264249999995,36.8520725
46,V885 Cyg,293.2077308333333,30.021382499999998
47,MY Cyg,305.01412124999996,33.94305833333333
48,V453 Cyg,301.64569249999994,35.740629722222224
49,V442 Cyg,306.9679333333333,30.791206666666668
50,CG Cyg,314.55605208333327,35.17490333333333
51,Y Cyg,313.01490541666664,34.65763361111111
52,beta Aur,89.88182291666666,44.94743194444444
53,KIC 7177553,283.0121208333333,42.72125555555556
54,KIC 8410637,282.15870375,44.48607027777778
55,KIC 3858884,293.69543666666664,38.98279166666667
56,KIC 5738698,299.71978249999995,40.90394277777778
57,V380 Cyg,297.65552791666664,40.599758055555554
58,V478 Cyg,304.9114479166666,38.33588694444445
59,V364 Lac,343.0617083333333,38.74573111111111
60,V342 And,2.5133037499999995,46.39031361111111
61,CO And,17.85354083333333,46.96373722222223
62,V570 Per,47.395599166666656,48.62463694444445
63,IM Per,47.92629583333332,52.211745
64,IQ Per,59.93615166666666,48.151246944444445
65,HS Aur,102.82698624999999,47.67338222222222
66,FL Lyr,288.02026083333334,46.324129444444445
67,KIC 11285625,285.21620583333333,49.08946166666667
68,V2080 Cyg,291.69977666666665,50.145494444444445
69,HP Dra,283.72283666666664,51.30827472222222
70,KIC 9246715,300.95133749999997,45.60411194444445
71,V1061 Cyg,316.8355020833333,52.04955916666666
72,RW Lac,341.23792999999995,49.65764194444444
73,AP And,357.3779554166666,45.78924166666666
74,IT Cas,355.5057395833333,51.74355972222222
75,V505 Per,35.30401291666666,54.51007777777778
76,RR Lyn,96.60765041666666,56.28509888888889
77,1SWASP J093010.78+533859.5,142.54478833333332,53.649945833333334
78,V1143 Cyg,294.67159625,54.97378944444445
79,RT And,347.79207541666665,53.025841944444444
80,V396 Cas,348.39990833333326,56.73811111111111
81,PV Cas,347.51073041666666,59.201707222222225
82,MU Cas,3.9648341666666664,60.43156694444444
83,V459 Cas,17.874638749999995,61.146682222222225
84,SZ Cam,61.95535833333332,62.332951944444446
85,WW Cam,67.85534291666666,64.36263777777778
86,ZZ UMa,157.51331041666666,61.81150833333333
87,WX Cep,337.8157908333333,63.52265361111111
88,AH Cep,341.97058791666666,65.06216583333332
89,CW Cep,346.0091729166666,63.39684583333333
90,YZ Cas,11.412808749999998,74.98807111111111
91,BF Dra,282.7473104166666,69.88263611111111
92,UZ Dra,291.47939083333335,68.93532111111111
93,EK Cep,325.3395995833333,69.69280777777779
94,VZ Cep,327.54639708333326,71.44395722222222
95,EY Cep,55.01694666666666,81.01917861111112
96,AY Cam,126.4657783333333,77.2185688888889
97,EI Cep,322.11752249999995,76.40349527777778
98,ASAS J045304-0700.4,73.26844833333332,-7.006529166666667
99,GG Ori,85.79259375,-0.6874427777777778
100,V530 Ori,91.14083333333332,-3.1977777777777776
101,V501 Mon,100.17386124999999,-1.1111108333333335
102,CoRoT 102918586,102.22628499999999,-0.8730208333333334
103,HI Mon,103.95444791666667,-4.043276944444444
104,FS Mon,111.17626249999999,-5.1540425
105,VZ Hya,127.92255499999999,-6.318767222222222
106,KW Hya,138.1085395833333,-7.1098025
107,IM Vir,192.41124291666665,-6.079128888888889
108,HY Vir,197.12466541666663,-2.6789966666666665
109,BH Vir,209.6035845833333,-1.6608202777777776
110,EG Ser,276.50916083333334,-1.6809302777777777
111,LL Aqr,338.6756358333333,-3.599492777777778
112,EF Aqr,345.3295524999999,-6.437599166666667
113,V1031 Ori,86.86204124999999,-10.532946666666668
114,PV Pup,116.36973749999999,-14.686162222222222
115,VV Crv,190.3164625,-13.013897222222223
116,DM Vir,211.96845208333332,-11.152076666666668
117,GZ CMa,109.08002166666665,-16.7166875
118,SW CMa,107.06348791666666,-22.44034638888889
119,HW CMa,107.091095,-22.408306666666665
120,ASAS J082552-1622.8,126.46502249999998,-16.3798325
121,VV Pyx,126.88868999999997,-20.844025
122,HS Hya,156.15319624999998,-19.092488055555556
123,BW Aqr,335.8163766666666,-15.332278055555555
124,AK For,52.345312916666664,-24.10086
125,chi2 Hya,166.48987541666665,-27.287852222222224
126,ASAS J180057-2333.8,270.23778416666664,-23.561640555555556
127,V3903 Sgr,272.3237508333333,-23.988397777777777
128,TZ For,48.667052916666655,-35.55766527777777
129,V760 Sco,246.18216083333328,-34.89375972222222
130,V906 Sco,268.4782320833333,-34.752745833333336
131,V1647 Sgr,269.8061270833333,-36.93884472222222
132,V4403 Sgr,280.5477958333333,-34.04031388888889
133,HD 187669,298.09203249999996,-32.56103944444444
134,PT Vel,137.74049999999997,-43.26747888888889
135,psi Cen,215.13930874999997,-37.88529527777778
136,GG Lup,229.73489916666665,-40.78822222222222
137,V4089 Sgr,293.53535874999994,-40.034640555555555
138,AI Phe,17.39246833333333,-46.26557611111111
139,V467 Vel,130.95752041666665,-46.11909888888889
140,CV Vel,135.15829499999998,-51.55557333333333
141,V636 Cen,214.2412983333333,-49.945101666666666
142,TV Nor,241.03852374999997,-51.54447333333333
143,zeta Phe,17.09618,-55.24575166666667
144,QX Car,148.64118416666665,-58.42127
145,GV Car,166.38703166666664,-58.73051111111111
146,EP Cru,189.31978666666666,-56.7881675
147,SZ Cen,207.6462195833333,-58.49919416666667
148,V539 Ara,267.61830124999994,-53.612406666666665
149,BG Ind,329.62516874999994,-59.01208138888889
150,V392 Car,119.54365333333331,-60.865946944444445
151,DW Car,160.79200666666665,-60.03659527777778
152,EM Car,168.01877458333328,-61.09526138888889
153,V349 Ara,249.84420791666665,-60.96169861111112
154,UX Men,82.51327749999999,-76.24870833333334
155,RS Cha,130.80082416666664,-79.07010166666666
156,RZ Cha,160.60045208333332,-82.03727305555556
157,TZ Men,82.5578525,-84.7851011111111
