,BinaryName,RA,DEC
0,UV Psc,1.2819775555555555 ,6.811703055555555 
1,XY Cet,2.9926478333333333 ,3.5175694444444443 
2,V1130 Tau,3.844983638888889 ,1.5639491666666667 
3,EW Ori,5.335873111111111 ,2.044445833333333 
4,V578 Mon,6.533502222222222 ,4.878021944444445 
5,AI Hya,8.313193666666667 ,0.2835036111111111 
6,FM Leo,11.212526277777776 ,0.3480122222222222 
7,AQ Ser,15.37088475 ,2.503064166666667 
8,V335 Ser,15.984932222222222 ,0.5957147222222222 
9,U Oph,17.275475888888888 ,1.2105544444444445 
10,V2368 Oph,17.270627944444442 ,2.186202222222222 
11,V413 Ser,18.58561563888889 ,0.04297527777777778 
12,CoRoT 105906206,18.721375694444443 ,5.966726944444445 
13,IO Aqr,20.679297083333335 ,0.9391675 
14,V1388 Ori,6.183101805555556 ,11.994858333333333 
15,WZ Oph,17.11084577777778 ,7.7827222222222225 
16,V2365 Oph,17.146050666666667 ,9.186155277777779 
17,V624 Her,17.73812416666667 ,14.4100675 
18,V451 Oph,18.487234055555557 ,10.892063055555555 
19,EE Peg,21.667188444444445 ,9.184754444444446 
20,CF Tau,4.086148527777778 ,22.496688333333335 
21,V1094 Tau,4.200997916666667 ,21.94738 
22,CD Tau,5.291987 ,20.131840833333335 
23,FT Ori,6.232820222222222 ,21.42755 
24,CU Cnc,8.52710388888889 ,19.39427722222222 
25,TX Cnc,8.667139972222222 ,18.999839444444447 
26,HD 194495,20.419667611111112 ,21.488567222222223 
27,BP Vul,20.425902333333333 ,21.03831888888889 
28,AD Boo,14.586883111111112 ,24.639261388888887 
29,RT CrB,15.634175472222221 ,29.487210833333336 
30,LV Her,17.592334944444442 ,23.175140000000003 
31,DI Her,18.890622222222223 ,24.277997777777777 
32,BK Peg,23.785685166666667 ,26.566657777777777 
33,AG Per,4.115507722222222 ,33.44637055555555 
34,NP Per,4.249376944444444 ,31.445589722222223 
35,AR Aur,5.3052488888888885 ,33.76736666666667 
36,HP Aur,5.1727170000000005 ,35.79628333333333 
37,V432 Aur,5.6256969166666675 ,37.08673888888889 
38,WW Aur,6.5408845555555555 ,32.45489805555556 
39,GX Gem,6.769202027777777 ,34.41466555555555 
40,KX Cnc,8.712836638888888 ,31.86260111111111 
41,HD 71636,8.498975499999998 ,37.07096777777778 
42,YY Gem,7.577106666666666 ,31.869736111111113 
43,CV Boo,15.438760111111112 ,36.98150972222222 
44,V501 Her,17.595403416666667 ,30.643065 
45,BD+36 3317,18.906176166666665 ,36.8520725 
46,V885 Cyg,19.547182055555556 ,30.021382499999998 
47,MY Cyg,20.33427475 ,33.94305833333333 
48,V453 Cyg,20.109712833333333 ,35.740629722222224 
49,V442 Cyg,20.46452888888889 ,30.791206666666668 
50,CG Cyg,20.97040347222222 ,35.17490333333333 
51,Y Cyg,20.867660361111113 ,34.65763361111111 
52,beta Aur,5.992121527777778 ,44.94743194444444 
53,KIC 7177553,18.867474722222223 ,42.72125555555556 
54,KIC 8410637,18.81058025 ,44.48607027777778 
55,KIC 3858884,19.57969577777778 ,38.98279166666667 
56,KIC 5738698,19.981318833333333 ,40.90394277777778 
57,V380 Cyg,19.84370186111111 ,40.599758055555554 
58,V478 Cyg,20.32742986111111 ,38.33588694444445 
59,V364 Lac,22.870780555555555 ,38.74573111111111 
60,V342 And,0.1675535833333333 ,46.39031361111111 
61,CO And,1.1902360555555556 ,46.96373722222223 
62,V570 Per,3.159706611111111 ,48.62463694444445 
63,IM Per,3.1950863888888885 ,52.211745 
64,IQ Per,3.9957434444444444 ,48.151246944444445 
65,HS Aur,6.855132416666667 ,47.67338222222222 
66,FL Lyr,19.201350722222223 ,46.324129444444445 
67,KIC 11285625,19.014413722222223 ,49.08946166666667 
68,V2080 Cyg,19.446651777777777 ,50.145494444444445 
69,HP Dra,18.914855777777777 ,51.30827472222222 
70,KIC 9246715,20.0634225 ,45.60411194444445 
71,V1061 Cyg,21.122366805555558 ,52.04955916666666 
72,RW Lac,22.749195333333333 ,49.65764194444444 
73,AP And,23.825197027777776 ,45.78924166666666 
74,IT Cas,23.70038263888889 ,51.74355972222222 
75,V505 Per,2.353600861111111 ,54.51007777777778 
76,RR Lyn,6.440510027777778 ,56.28509888888889 
77,1SWASP J093010.78+533859.5,9.502985888888889 ,53.649945833333334 
78,V1143 Cyg,19.644773083333334 ,54.97378944444445 
79,RT And,23.186138361111112 ,53.025841944444444 
80,V396 Cas,23.226660555555554 ,56.73811111111111 
81,PV Cas,23.16738202777778 ,59.201707222222225 
82,MU Cas,0.2643222777777778 ,60.43156694444444 
83,V459 Cas,1.1916425833333333 ,61.146682222222225 
84,SZ Cam,4.130357222222222 ,62.332951944444446 
85,WW Cam,4.523689527777778 ,64.36263777777778 
86,ZZ UMa,10.500887361111111 ,61.81150833333333 
87,WX Cep,22.521052722222223 ,63.52265361111111 
88,AH Cep,22.798039194444446 ,65.06216583333332 
89,CW Cep,23.067278194444444 ,63.39684583333333 
90,YZ Cas,0.7608539166666667 ,74.98807111111111 
91,BF Dra,18.849820694444443 ,69.88263611111111 
92,UZ Dra,19.43195938888889 ,68.93532111111111 
93,EK Cep,21.68930663888889 ,69.69280777777779 
94,VZ Cep,21.83642647222222 ,71.44395722222222 
95,EY Cep,3.6677964444444444 ,81.01917861111112 
96,AY Cam,8.431051888888888 ,77.2185688888889 
97,EI Cep,21.4745015 ,76.40349527777778 
98,ASAS J045304-0700.4,4.884563222222222 ,-7.006529166666667 
99,GG Ori,5.71950625 ,-0.6874427777777778 
100,V530 Ori,6.0760555555555555 ,-3.1977777777777776 
101,V501 Mon,6.678257416666667 ,-1.1111108333333335 
102,CoRoT 102918586,6.815085666666667 ,-0.8730208333333334 
103,HI Mon,6.930296527777778 ,-4.043276944444444 
104,FS Mon,7.4117508333333335 ,-5.1540425 
105,VZ Hya,8.528170333333334 ,-6.318767222222222 
106,KW Hya,9.207235972222222 ,-7.1098025 
107,IM Vir,12.827416194444444 ,-6.079128888888889 
108,HY Vir,13.14164436111111 ,-2.6789966666666665 
109,BH Vir,13.973572305555555 ,-1.6608202777777776 
110,EG Ser,18.433944055555557 ,-1.6809302777777777 
