binaryname,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,phot_g_mean_mag,phot_g_mean_flux,phot_g_mean_flux_error,phot_bp_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_rp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,j_m,j_msigcom,h_m,h_msigcom,ks_m,ks_msigcom,w1mpro,w1mpro_error,w2mpro,w2mpro_error,w3mpro,w3mpro_error,w4mpro,w4mpro_error,g_mean_psf_mag,g_mean_psf_mag_error,r_mean_psf_mag,r_mean_psf_mag_error,i_mean_psf_mag,i_mean_psf_mag_error,z_mean_psf_mag,z_mean_psf_mag_error,y_mean_psf_mag,y_mean_psf_mag_error
V4403 Sgr,6735526872216908160,280.54772753623246,0.04369613636859757,-34.04041850709076,0.043484120115025636,4.699528834935588,0.05372648880572584,8.496561,7528734.814360959,32117.038861848716,8.757669,4339976.828020287,47600.6077072971,8.091218,4658871.855448602,49166.34819889329,7.648,0.021,7.494,0.055,7.367,0.018,7.359,0.037,7.382,0.02,7.391,0.019,7.541,0.143,,,,,,,,,,
PT Vel,5427171390199613184,137.74058114456687,0.033567700974781234,-43.267616815779306,0.040166807713204446,5.758754615477884,0.04248248081058883,6.9947834,3.0021535570341848E7,22063.391210145408,7.0530524,2.0860964432680197E7,110765.4892794689,6.959857,1.3207641775416652E7,66505.99635338833,6.863,0.03,6.853,0.029,6.837,0.029,6.831,0.071,6.868,0.02,6.933,0.018,6.809,0.073,,,,,,,,,,
V760 Sco,6022357104710630144,246.18214078484118,0.08693188678805379,-34.893837539898634,0.053969207495761846,3.3873442960019866,0.09069443612304928,6.924578,3.2026904150606405E7,61937.275900908215,7.0389137,2.113438980163705E7,140098.41108308017,6.9049597,1.3892620275787469E7,644109.5685619091,6.571,0.024,6.543,0.053,6.545,0.023,6.592,0.076,6.575,0.024,6.615,0.016,5.382,0.038,,,,,,,,,,
V467 Vel,5329858843022355072,130.95750086466393,0.02698421518327908,-46.11908371841393,0.026324631964873495,0.14878137187429627,0.03339302672359155,10.785891,914092.4741708204,1766.3190661356766,11.017845,541274.1859889741,3762.5184939438227,10.391666,559888.1688605591,4564.93253314553,9.878,0.026,9.689,0.022,9.641,0.023,9.597,0.022,9.614,0.02,9.767,0.054,8.203,0.406,,,,,,,,,,
EM Car,5337239658437912960,168.0187183318683,0.03656706227547541,-61.09525773428861,0.033118513542527185,0.3345929877875001,0.042664473557908374,8.29366,9075744.429925965,24623.504647348946,8.480122,5604109.637064866,43993.416747851414,7.990741,5110597.885195939,59500.86715175516,7.967,0.026,7.896,0.042,7.83,0.021,7.509,0.026,7.517,0.02,7.575,0.027,5.447,0.127,,,,,,,,,,
V349 Ara,5830596160805580544,249.84416044444882,0.038491868553692396,-60.96173644518638,0.028540792093908633,1.7022616023523882,0.05061972440508323,8.652143,6523630.761705791,39335.49604840893,8.763314,4317471.517570052,67023.17082668202,8.422042,3435194.2222178834,53933.11826190352,8.108,0.026,8.068,0.02,7.997,0.029,7.975,0.023,8.004,0.02,8.013,0.019,7.95,0.19,,,,,,,,,,
V906 Sco,4040825529908227072,268.4782323219647,0.727212645910147,-34.75274607764597,0.7230366507028089,,,5.967238,7.73483667312166E7,446072.6238801009,6.032366,5.3408330207977675E7,1282701.2162544192,6.009439,3.1695122833492324E7,638064.8621318474,5.869,0.019,5.868,0.036,5.823,0.02,5.722,0.107,5.715,0.037,5.893,0.017,5.795,0.04,,,,,,,,,,
V392 Car,5290673829139963520,119.5436144722668,0.03311105976601172,-60.86590426157464,0.0338867128649147,2.369749458358389,0.03435043515877113,9.466132,3082432.531040093,712.9461933301073,9.587927,2020154.9037530748,2201.4322853776466,9.283184,1554154.535642671,2037.019726414361,9.053,0.026,8.973,0.023,8.936,0.021,8.879,0.023,8.901,0.02,8.937,0.024,8.963,0.275,,,,,,,,,,
SW CMa,2927876770452174848,107.06346101660719,0.021654483721777872,-22.440314467887873,0.030049183446352486,1.5870546828993275,0.041110698992256306,9.106494,4292880.292658863,1644.5100791681662,9.200815,2885554.306130408,2381.0830205062894,8.9612255,2090633.2708981545,1589.1536528152023,8.79,0.024,8.749,0.046,8.717,0.024,8.666,0.022,8.691,0.02,8.643,0.023,8.505,0.28,,,,,,,,,,
HW CMa,2927877354567690624,107.09102707964986,0.017859264157506945,-22.408304605072633,0.026413583331862008,2.8343064520001726,0.03306772936357746,9.130308,4199745.935429057,1067.6579859597364,9.2491045,2760028.3698240053,1939.7568664816686,8.95424,2104127.3347407696,1853.9614883525664,8.756,0.029,8.695,0.027,8.686,0.02,8.643,0.023,8.668,0.02,8.664,0.025,8.914,0.51,,,,,,,,,,
HS Hya,5668792270155162240,156.1531353593697,0.06584510147404297,-19.0925339329651,0.055948761774870466,9.465285332573739,0.07249692876909979,7.9601626,1.2339036850583361E7,6625.475592081197,8.2168865,7141686.927627885,12712.075031040597,7.5922885,7376539.573167029,16486.66545389599,7.206,0.021,7.034,0.034,6.957,0.016,6.849,0.062,6.885,0.02,6.919,0.016,6.859,0.085,,,,,,,,,,
HD 187669,6748088826900811904,298.0920497125879,0.038937290624933625,-32.5610778951716,0.02975206762544577,1.5448702582213798,0.05571118003447276,8.411132,8145049.344676243,6394.2171354061065,9.132574,3072738.982690516,6980.290995719832,7.627333,7142244.6815095125,19911.425977460854,6.492,0.024,5.862,0.033,5.674,0.02,5.625,0.163,5.556,0.046,5.603,0.015,5.551,0.036,,,,,,,,,,
V3903 Sgr,4066278846098710016,272.32376275864743,0.06292651760676661,-23.988402746059265,0.0531598470288393,0.9082223600590964,0.05632618629127553,7.198069,2.489537031443731E7,78303.821146077,7.2909775,1.6755764161030633E7,147148.11519912945,7.01221,1.2585893777432967E7,110707.19857334941,6.819,0.02,6.79,0.018,6.779,0.024,6.749,0.062,6.843,0.02,7.263,0.036,8.262,,,,,,,,,,,
ASAS J180057-2333.8,4069123969836636160,270.2377848438203,0.042312220600351315,-23.5616467028444,0.03865300215287441,0.6406513051345754,0.04647901193897941,9.410219,3245327.3469664217,6104.780089538554,10.604432,792104.5558704596,4528.4901588653765,8.376886,3581073.811971512,29175.263590318722,7.048,0.024,6.243,0.034,5.917,0.02,5.236,0.195,5.237,0.077,5.268,0.023,2.553,0.031,,,,,,,,,,
VV Pyx,5706279565053294848,126.88869027087249,0.6972579522700407,-20.844025100204234,0.6970291256913451,,,6.557402,4.49143779620304E7,40704.79247487946,6.5996294,3.167403855121105E7,84049.33064786489,6.5131707,1.9929650975371398E7,66146.92741801379,6.403,0.018,6.41,0.024,6.374,0.024,6.402,0.078,6.351,0.025,6.483,0.015,6.319,0.063,,,,,,,,,,
GZ CMa,2934917596236264704,109.07999921276458,0.03467272020646582,-16.71673969787544,0.03517191331021553,3.4159109937100305,0.05028216390196735,7.9388747,1.2583352280933836E7,6879.195856414898,8.031096,8474547.430775188,11978.194998995783,7.810858,6031493.570879231,8686.564409436822,7.613,0.023,7.611,0.031,7.559,0.029,7.535,0.031,7.584,0.02,7.593,0.018,7.492,0.14,,,,,,,,,,
BH Vir,3658016297314889728,209.60359631738,0.031886244077949946,-1.6608453512336812,0.02444688633321485,6.6999031329342715,0.03398214676284697,9.47758,3050102.450674174,6352.949849081173,9.814621,1639482.4025507334,10663.628472898507,9.007939,2002590.163793696,6475.590076836955,8.459,0.026,8.185,0.057,8.072,0.044,8.125,0.022,8.152,0.02,8.076,0.02,7.885,0.181,,,,,,,,,,
HI Mon,3102528381419183616,103.95443844116323,0.03975319181869175,-4.043274557057092,0.038860785352222725,0.3923017582448205,0.0458981364583024,9.290542,3623512.972102478,29935.395725906554,9.425905,2345272.5072409576,86192.77759689989,9.196197,1683795.7329871843,64485.9531828361,9.078,0.03,9.077,0.023,9.058,0.023,9.046,0.022,9.099,0.019,8.102,0.02,4.474,0.033,,,,,,,,,,
EF Aqr,2634889975703593600,345.32967236981153,0.04494750493265521,-6.437674245709236,0.03988229379615755,5.7645029062538145,0.06033501626892497,9.742618,2389457.577583326,2085.3480896975425,10.065676,1301023.3991822056,3597.519530429351,9.295764,1536252.4247970046,3092.4309154790453,8.818,0.023,8.523,0.026,8.481,0.023,8.428,0.023,8.46,0.021,8.357,0.034,8.019,0.367,,,,,,,,,,
VZ Hya,5755010401431461120,127.92255050470759,0.0377977924348784,-6.318717348512063,0.0336876538038528,6.764920177133198,0.0490637361727227,8.838481,5494824.426419959,1284.1715760098582,9.090853,3193112.7000705427,3706.4074175406636,8.461676,3312057.261741115,3571.53484731102,8.076,0.024,7.852,0.024,7.784,0.017,7.707,0.03,7.754,0.02,7.744,0.021,7.698,0.175,,,,,,,,,,
KW Hya,5745846869663201024,138.10845882125943,0.06877912364501858,-7.109759252456557,0.09330644025497112,11.67442435712804,0.08914254028707574,6.0528965,7.148053125835907E7,44437.13090466185,6.187864,4.628175397210701E7,135079.77687794372,5.879586,3.5721814055660374E7,113332.13247233663,5.654,0.023,5.632,0.04,5.544,0.021,5.605,0.155,5.465,0.057,5.603,0.015,5.54,0.039,,,,,,,,,,
BW Aqr,2599211025245327232,335.8163121370499,0.10928041610470977,-15.332341580121598,0.06962901126350078,2.3953830534327616,0.12888813842518504,10.196876,1572520.1445883268,1544.2902746158354,10.480267,888072.8590018913,619.1061513455019,9.799299,966158.6442321858,864.1419454640773,9.933,0.023,9.68,0.021,9.645,0.019,9.023,0.023,9.059,0.02,9.025,0.033,8.388,,,,,,,,,,,
ASAS J045304-0700.4,3187988785977092352,73.26850863354359,0.02561054273825272,-7.00666038149813,0.024489891525654704,7.482129354299577,0.03446594281908089,11.133326,663767.7273968754,2075.7381366434693,11.693579,290485.10546612955,3319.5458675680197,10.456701,527335.8796652036,4460.2634480547395,9.561,0.026,9.041,0.023,8.914,0.026,8.871,0.023,8.892,0.02,8.826,0.028,8.812,0.489,,,,,,,,,,
DM Vir,6304441073411046400,211.96825457529647,0.052143748099588015,-11.15206877834244,0.0760767178652492,5.217061038587557,0.07136770366525237,8.609196,6786844.855261606,3024.4945591019837,8.878088,3884365.5513458345,7985.177445342416,8.22256,4128042.9517625687,7832.326453390447,7.792,0.026,7.611,0.053,7.528,0.018,7.512,0.029,7.569,0.02,7.573,0.017,7.549,0.122,,,,,,,,,,
V501 Mon,3107300364962651520,100.17385758066301,0.040247310043865274,-1.1111316294872406,0.04383666856947321,1.020456944911192,0.04627676900375689,12.188422,251175.5299744509,56.25432787401768,12.476415,141250.25566168124,143.17686506460396,11.750033,160234.04372221802,128.3363204719485,11.256,0.026,11.073,0.026,10.982,0.023,10.986,0.023,11.012,0.022,11.014,0.116,8.62,,12.5430002212524,,12.3070001602173,,12.1960000991821,,12.0880002975464,,12.0717000961304,0.00505399983376265
HY Vir,3684484600212307712,197.12459947193892,0.06011952610737637,-2.678902291516729,0.03453050441158677,5.484073101218413,0.0683519345929876,7.7317348,1.5228333346074168E7,8781.893041217574,7.9500737,9131156.58154551,22677.39691447088,7.4242654,8611161.9309898,38538.58156391994,7.097,0.024,6.914,0.042,6.874,0.029,6.906,0.062,6.902,0.021,6.94,0.016,6.95,0.107,,,,,,,,,,
FS Mon,3058619972980156032,111.17629269201144,0.034970335978811155,-5.154103052599069,0.03308350017796642,2.9498948056013163,0.04072465159264616,9.508545,2964342.5920997034,3698.4076314905915,9.726771,1777651.889855262,5981.5604557156485,9.180641,1708093.5870269223,5262.659090689,8.826,0.02,8.651,0.04,8.656,0.023,8.602,0.023,8.621,0.02,8.662,0.028,8.631,,,,,,,,,,,
EG Ser,4270494022591579776,276.5091315422728,0.06203760651045741,-1.6810007098332858,0.06693782238421514,4.287937855813203,0.08236681974404421,8.198031,9911373.750840683,5511.815787333685,8.301053,6608971.435898149,28762.110746993014,7.97786,5171589.517058287,6214.5333847117845,7.673,0.024,7.671,0.031,7.588,0.026,7.547,0.026,7.58,0.02,7.661,0.018,7.623,0.212,,,,,,,,,,
